,player_name,team_id,player_id,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy,key_passes,interceptions,tackle,tackle_accuracy,clearances,successful_tackles,total_saves,successful_saves,save_rate,goals_per_90min,assists_per_90min,total_shots_per_90min,shots_on_target_per_90min,total_passes_per_90min,interceptions_per_90min,tackle_per_90min,clearances_per_90min,total_saves_per_90min,save_rate_per_90min
2,A. Badri,48828,84282,14734.6,0,0,0,2,2,0,2,0,4,1,1,0,84,75,2.72,1,9,26,1.64,2,15,0,0,0,0.0,0.0,0.7,0.7,30.8,3.3,9.5,0.7,0.0,0.0
3,A. Behich,25479,184953,17195.5,0,0,1,2,0,1,1,0,4,0,1,0,164,135,2.47,0,11,42,1.88,2,26,0,0,0,0.0,0.0,0.6,0.0,51.5,3.5,13.2,0.6,0.0,0.0
4,A. Beiranvand,32520,714093,17744.5,0,0,0,0,0,0,0,0,0,0,0,0,39,31,2.38,0,0,1,1.0,0,1,10,8,0,0.0,0.0,0.0,0.0,11.9,0.0,0.3,0.0,3.0,0.0
6,A. Carrillo,46782,210468,16395.1,1,0,0,3,2,2,1,0,2,1,0,0,101,81,2.39,2,5,67,2.05,0,45,0,0,0,0.3,0.0,1.0,0.7,33.3,1.6,22.1,0.0,0.0,0.0
7,A. Christensen,23136,405309,16382.3,0,0,0,0,0,0,0,0,2,0,0,0,148,141,2.85,0,18,12,2.67,13,11,0,0,0,0.0,0.0,0.0,0.0,48.8,5.9,4.0,4.3,0.0,0.0
8,A. Cooper,35858,172822,11612.7,0,0,0,1,0,1,0,0,4,0,2,0,71,62,1.75,3,4,34,1.2999999999999998,0,22,0,0,0,0.0,0.0,0.5,0.0,33.0,1.9,15.8,0.0,0.0,0.0
9,A. Cornelius,15424,270300,6056.9,0,0,0,1,1,0,0,1,2,0,0,0,17,10,1.18,1,1,15,1.16,0,11,0,0,0,0.0,0.0,0.9,0.9,15.2,0.9,13.4,0.0,0.0,0.0
11,A. Dzyuba,43074,305007,12028.2,2,0,0,4,2,1,1,2,11,2,0,0,42,33,2.39,1,4,50,1.75,2,28,0,0,0,0.9,0.0,1.8,0.9,18.9,1.8,22.4,0.9,0.0,0.0
12,A. Ekdal,21141,62628,15137.3,0,0,0,0,0,0,0,0,2,0,1,0,101,88,2.43,0,11,37,2.13,1,27,0,0,0,0.0,0.0,0.0,0.0,36.0,3.9,13.2,0.4,0.0,0.0
13,A. El Kaabi,32432,1105110,6117.9,0,0,0,1,0,0,1,0,2,0,0,0,5,4,1.67,0,0,3,1.5,1,2,0,0,0,0.0,0.0,0.9,0.0,4.4,0.0,2.6,0.9,0.0,0.0
14,A. Finnbogason,23517,113844,16407.1,1,0,0,5,2,3,2,0,7,0,1,0,49,39,2.4,0,7,41,1.7800000000000002,0,24,0,0,0,0.3,0.0,1.6,0.7,16.1,2.3,13.5,0.0,0.0,0.0
15,A. Godoy,53787,259242,15646.9,0,0,0,2,0,0,2,0,6,0,1,0,102,93,2.74,0,8,26,1.99,1,17,0,0,0,0.0,0.0,0.7,0.0,35.2,2.8,9.0,0.3,0.0,0.0
16,A. Golovin,28716,515600,11448.4,1,2,0,2,1,2,0,0,7,0,1,0,81,61,1.5,0,10,54,1.21,0,32,0,0,0,0.5,0.9,0.9,0.5,38.2,4.7,25.5,0.0,0.0,0.0
17,A. Granqvist,21141,63825,17492.8,2,0,0,4,3,3,0,1,6,0,0,0,113,99,2.53,0,27,13,1.4300000000000002,14,6,0,0,0,0.6,0.0,1.2,0.9,34.9,8.3,4.0,4.3,0.0,0.0
18,A. Griezmann,13254,11046,13226.4,1,0,0,8,5,4,4,0,3,1,0,0,94,68,2.12,2,1,20,2.49,0,17,0,0,0,0.4,0.0,3.3,2.0,38.4,0.4,8.2,0.0,0.0,0.0
19,A. Guardado,46419,10152,13133.7,0,0,0,5,1,1,4,0,2,0,0,0,89,80,2.7,1,9,29,2.21,4,20,0,0,0,0.0,0.0,2.1,0.4,36.6,3.7,11.9,1.6,0.0,0.0
21,A. Gunnarsson,23517,232563,15641.1,0,0,0,2,1,1,0,1,1,0,0,0,81,67,2.43,0,10,30,1.7,2,17,0,0,0,0.0,0.0,0.7,0.3,28.0,3.5,10.4,0.7,0.0,0.0
22,A. Hakimi,48648,1189425,17681.0,0,0,0,1,0,1,0,0,3,0,1,0,101,83,2.52,1,12,38,1.97,8,25,0,0,0,0.0,0.0,0.3,0.0,30.8,3.7,11.6,2.4,0.0,0.0
25,A. Jahanbakhsh,32520,238143,10630.7,0,0,0,2,1,2,0,0,5,0,1,0,44,29,1.99,1,7,27,1.69,2,15,0,0,0,0.0,0.0,1.0,0.5,22.4,3.6,13.7,1.0,0.0,0.0
27,A. Jędrzejczyk,13869,99381,5645.1,0,0,0,0,0,0,0,0,2,0,0,0,38,31,0.82,1,2,15,0.67,1,10,0,0,0,0.0,0.0,0.0,0.0,36.4,1.9,14.3,1.0,0.0,0.0
29,A. Kolarov,51966,24918,17540.5,1,0,0,2,1,0,2,0,6,0,0,0,110,85,2.29,1,16,24,1.7600000000000002,4,13,0,0,0,0.3,0.0,0.6,0.3,33.9,4.9,7.4,1.2,0.0,0.0
30,A. Kramarić,28794,208233,11768.6,0,0,0,4,0,2,1,1,1,3,0,0,69,56,2.36,1,1,19,1.82,1,12,0,0,0,0.0,0.0,1.8,0.0,31.7,0.5,8.7,0.5,0.0,0.0
31,A. Ljajić,51966,62823,10760.5,0,0,0,1,0,1,0,0,1,0,1,0,73,59,2.49,0,2,25,2.29,0,18,0,0,0,0.0,0.0,0.5,0.0,36.6,1.0,12.5,0.0,0.0,0.0
32,A. Machado,17929,125848,5975.2,0,0,0,0,0,0,0,0,0,0,0,0,29,21,0.72,0,3,7,0.71,2,5,0,0,0,0.0,0.0,0.0,0.0,26.2,2.7,6.3,1.8,0.0,0.0
33,A. Mathlouthi,16276,120898,5975.2,0,0,0,0,0,0,0,0,0,0,0,0,27,24,0.89,0,1,1,1.0,0,1,5,4,0,0.0,0.0,0.0,0.0,24.4,0.9,0.9,0.0,4.5,0.0
34,A. Maâloul,32552,241678,11587.9,0,0,0,0,0,0,0,0,1,0,0,0,100,85,1.7,0,9,13,1.21,3,8,0,0,0,0.0,0.0,0.0,0.0,46.6,4.2,6.1,1.4,0.0,0.0
36,A. Mitrović,51966,384642,17029.1,1,0,0,14,5,4,1,9,7,3,2,0,46,30,1.94,0,7,47,2.03,5,34,0,0,0,0.3,0.0,4.4,1.6,14.6,2.2,14.9,1.6,0.0,0.0
37,A. Mooy,25479,187167,17195.5,0,0,0,3,0,2,1,0,4,0,0,0,189,165,2.6100000000000003,1,14,26,1.67,6,14,0,0,0,0.0,0.0,0.9,0.0,59.4,4.4,8.2,1.9,0.0,0.0
38,A. Musa,50469,304818,13470.1,2,0,0,4,2,4,0,0,5,1,0,0,52,37,2.11,0,2,40,1.91,1,28,0,0,0,0.8,0.0,1.6,0.8,20.8,0.8,16.0,0.4,0.0,0.0
39,A. N'Diaye,38628,65586,9174.8,0,0,0,0,0,0,0,0,2,0,0,0,44,37,1.73,0,5,11,1.0699999999999998,2,6,0,0,0,0.0,0.0,0.0,0.0,25.9,2.9,6.5,1.2,0.0,0.0
40,A. Nabbout,16986,476110,8407.9,0,0,0,0,0,0,0,0,1,0,0,0,14,13,1.91,0,0,9,1.35,0,6,0,0,0,0.0,0.0,0.0,0.0,9.0,0.0,5.8,0.0,0.0,0.0
42,A. Rebić,19196,139232,8215.9,1,0,0,3,1,3,0,0,10,0,1,0,39,25,1.1800000000000002,1,4,44,1.24,0,27,0,0,0,0.7,0.0,2.0,0.7,25.6,2.6,28.9,0.0,0.0,0.0
43,A. Rodríguez,31188,140288,8687.3,0,0,0,1,0,0,0,1,1,0,0,0,55,53,1.93,0,7,10,1.4,1,7,0,0,0,0.0,0.0,0.6,0.0,34.2,4.4,6.2,0.6,0.0,0.0
44,A. Rukavina,34644,30428,6258.1,0,0,0,0,0,0,0,0,2,0,0,0,43,39,1.89,0,5,12,1.1,3,7,0,0,0,0.0,0.0,0.0,0.0,37.1,4.3,10.4,2.6,0.0,0.0
45,A. Rüdiger,3148,14748,5942.7,0,0,0,0,0,0,0,0,2,0,0,0,83,79,0.95,0,2,5,0.2,3,1,0,0,0,0.0,0.0,0.0,0.0,75.4,1.8,4.5,2.7,0.0,0.0
46,A. Samedov,43074,305097,15347.3,0,0,0,2,0,2,0,0,3,0,0,0,104,89,2.57,2,8,33,2.35,2,24,0,0,0,0.0,0.0,0.7,0.0,36.6,2.8,11.6,0.7,0.0,0.0
47,A. Santamaría,31188,230706,8659.2,0,0,0,0,0,0,0,0,0,0,0,0,77,74,1.92,0,6,14,0.8800000000000001,2,7,0,0,0,0.0,0.0,0.0,0.0,48.0,3.7,8.7,1.2,0.0,0.0
48,A. Shehu,16823,265368,5757.7,0,0,0,0,0,0,0,0,1,0,0,0,35,33,0.94,0,11,7,0.57,3,4,0,0,0,0.0,0.0,0.0,0.0,32.8,10.3,6.6,2.8,0.0,0.0
51,A. Uribe,24860,183004,9132.3,0,0,0,1,1,1,0,0,2,0,0,0,66,59,1.79,0,5,27,0.88,1,12,0,0,0,0.0,0.0,0.6,0.6,39.0,3.0,16.0,0.6,0.0,0.0
52,A. Witsel,11258,140246,11229.6,0,0,0,3,0,2,1,0,5,0,0,0,114,107,1.88,0,6,23,1.04,1,12,0,0,0,0.0,0.0,1.4,0.0,54.8,2.9,11.1,0.5,0.0,0.0
53,A. Young,4826,15878,11665.2,0,0,0,1,0,1,0,0,3,0,0,0,91,81,1.78,0,6,15,1.0699999999999998,0,8,0,0,0,0.0,0.0,0.5,0.0,42.1,2.8,6.9,0.0,0.0,0.0
55,Abdallah Said,48387,360501,14572.7,0,1,0,1,0,1,0,0,0,0,0,0,138,110,2.29,1,11,32,1.84,1,20,0,0,0,0.0,0.4,0.4,0.0,51.1,4.1,11.9,0.4,0.0,0.0
56,Abdullah Al Mayouf,16521,122561,5802.5,0,0,0,0,0,0,0,0,0,0,0,0,30,27,0.9,0,3,0,0.0,0,0,7,2,0,0.0,0.0,0.0,0.0,27.9,2.8,0.0,0.0,6.5,0.0
57,Abdullah Otayf,49563,418179,15732.8,0,1,0,2,0,2,0,0,3,0,0,0,263,241,2.74,0,16,42,1.81,3,26,0,0,0,0.0,0.3,0.7,0.0,90.3,5.5,14.4,1.0,0.0,0.0
58,Adrien Silva,29715,211209,7410.4,0,0,0,1,0,1,0,0,2,0,1,0,107,101,1.72,1,6,16,1.3199999999999998,0,11,0,0,0,0.0,0.0,0.7,0.0,78.0,4.4,11.7,0.0,0.0,0.0
59,Ahmed Fathy,48387,360468,17554.2,0,0,1,1,1,1,0,0,6,0,1,0,136,113,2.47,0,18,61,1.62,8,33,0,0,0,0.0,0.0,0.3,0.3,41.8,5.5,18.8,2.5,0.0,0.0
60,Ahmed Hegazy,48387,359853,17554.2,0,0,0,0,0,0,0,0,2,0,1,0,125,100,2.4,0,26,26,1.85,16,16,0,0,0,0.0,0.0,0.0,0.0,38.5,8.0,8.0,4.9,0.0,0.0
62,Ali Al Bulayhi,16521,398219,5762.8,0,0,0,0,0,0,0,0,0,0,0,0,42,35,0.83,0,7,4,0.5,2,2,0,0,0,0.0,0.0,0.0,0.0,39.4,6.6,3.7,1.9,0.0,0.0
63,Ali Gabr,48387,594360,17554.2,0,0,0,1,0,0,0,1,2,0,1,0,82,74,2.71,0,15,16,1.86,14,10,0,0,0,0.0,0.0,0.3,0.0,25.2,4.6,4.9,4.3,0.0,0.0
64,Alisson,19140,642660,17547.0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,2.9,0,6,0,0.0,0,0,4,3,0,0.0,0.0,0.0,0.0,11.1,1.8,0.0,0.0,1.2,0.0
65,Amr Warda,48387,1166784,9778.5,0,0,0,2,0,1,1,0,1,0,0,0,57,38,2.01,0,10,21,2.43,3,17,0,0,0,0.0,0.0,1.1,0.0,31.5,5.5,11.6,1.7,0.0,0.0
66,André Silva,9905,135927,5885.6,0,0,0,1,0,1,0,0,1,1,0,0,24,21,0.88,0,0,10,0.8,1,8,0,0,0,0.0,0.0,0.9,0.0,22.0,0.0,9.2,0.9,0.0,0.0
67,B. Bereszyński,41607,299499,10891.1,0,0,0,0,0,0,0,0,4,0,0,0,61,53,2.5,1,12,26,1.04,1,13,0,0,0,0.0,0.0,0.0,0.0,30.2,5.9,12.9,0.5,0.0,0.0
68,B. Bjarnason,23517,114252,17128.1,0,0,0,7,1,5,2,0,5,0,0,0,64,48,2.25,1,7,38,1.86,0,22,0,0,0,0.0,0.0,2.2,0.3,20.2,2.2,12.0,0.0,0.0,0.0
69,B. Džemaili,20091,63507,16117.6,1,0,0,7,3,5,2,0,7,0,0,0,68,56,2.51,1,5,48,1.95,0,29,0,0,0,0.3,0.0,2.3,1.0,22.8,1.7,16.1,0.0,0.0,0.0
70,B. Embolo,20091,848316,8257.599999999999,0,1,0,2,2,2,0,0,2,0,0,0,33,25,1.45,0,2,34,1.82,1,23,0,0,0,0.0,0.7,1.3,1.3,21.6,1.3,22.2,0.7,0.0,0.0
71,B. Idowu,50469,629376,14373.0,0,0,0,0,0,0,0,0,3,0,1,0,78,63,2.47,0,11,32,2.26,0,24,0,0,0,0.0,0.0,0.0,0.0,29.3,4.1,12.0,0.0,0.0,0.0
72,B. Ivanović,34644,15782,11843.7,0,0,0,0,0,0,0,0,1,0,1,0,70,56,1.62,0,10,27,1.35,5,18,0,0,0,0.0,0.0,0.0,0.0,31.9,4.6,12.3,2.3,0.0,0.0
74,B. Matuidi,8836,50874,6887.7,0,0,0,1,0,0,1,0,4,0,1,0,43,33,1.56,0,3,30,0.92,0,13,0,0,0,0.0,0.0,0.8,0.0,33.7,2.4,23.5,0.0,0.0,0.0
77,B. Oviedo,33742,111964,11724.7,0,0,0,2,1,0,2,0,4,0,0,0,55,43,1.56,0,15,28,0.93,3,12,0,0,0,0.0,0.0,0.9,0.5,25.3,6.9,12.9,1.4,0.0,0.0
78,B. Pavard,8836,681292,11581.9,0,0,0,1,0,1,0,0,6,0,0,0,109,84,1.55,1,11,19,1.07,8,10,0,0,0,0.0,0.0,0.5,0.0,50.8,5.1,8.9,3.7,0.0,0.0
79,B. Pérez,35858,227034,10286.9,0,0,0,1,0,0,1,0,1,1,0,0,32,23,1.46,0,3,7,1.42,0,5,0,0,0,0.0,0.0,0.5,0.0,16.8,1.6,3.7,0.0,0.0,0.0
80,B. Ruiz,50613,33465,17701.4,0,0,0,2,0,0,2,0,3,1,0,0,123,100,2.44,2,11,51,1.72,1,29,0,0,0,0.0,0.0,0.6,0.0,37.5,3.4,15.6,0.3,0.0,0.0
83,B. Sævarsson,23517,163353,17431.4,0,0,0,0,0,0,0,0,1,0,1,0,70,55,2.4,0,19,29,1.79,10,17,0,0,0,0.0,0.0,0.0,0.0,21.7,5.9,9.0,3.1,0.0,0.0
84,Bernardo Silva,29715,797019,9506.7,0,0,0,0,0,0,0,0,1,0,0,0,48,35,2.42,1,6,37,2.03,2,24,0,0,0,0.0,0.0,0.0,0.0,27.3,3.4,21.0,1.1,0.0,0.0
85,Bruno Fernandes,19810,487176,5644.2,0,0,0,3,0,3,0,0,1,0,1,0,33,24,1.45,1,8,11,0.8300000000000001,0,5,0,0,0,0.0,0.0,2.9,0.0,31.6,7.7,10.5,0.0,0.0,0.0
88,C. Borges,50613,153012,17701.4,0,0,0,5,2,4,0,1,2,0,0,0,124,107,2.58,0,9,20,1.59,4,11,0,0,0,0.0,0.0,1.5,0.6,37.8,2.7,6.1,1.2,0.0,0.0
89,C. Cueva,46782,344439,16539.5,0,1,0,2,0,2,0,0,0,2,0,0,131,107,2.47,6,8,44,2.14,1,32,0,0,0,0.0,0.3,0.7,0.0,42.8,2.6,14.4,0.3,0.0,0.0
90,C. Eriksen,23136,162,17268.300000000003,1,1,0,8,3,5,3,0,1,0,0,0,111,86,2.34,1,8,40,1.54,4,22,0,0,0,0.3,0.3,2.5,0.9,34.7,2.5,12.5,1.3,0.0,0.0
91,C. Gamboa,50613,167931,16071.0,0,0,0,3,2,2,1,0,5,0,1,0,84,66,2.3600000000000003,0,5,41,1.6800000000000002,4,24,0,0,0,0.0,0.0,1.0,0.7,28.2,1.7,13.8,1.3,0.0,0.0
92,C. Kouyaté,57942,113175,8109.4,0,0,0,0,0,0,0,0,1,0,0,0,34,30,2.73,0,2,14,1.29,1,10,0,0,0,0.0,0.0,0.0,0.0,22.6,1.3,9.3,0.7,0.0,0.0
94,C. Pavón,36822,856188,5669.4,0,0,0,1,0,1,0,0,1,0,0,0,35,24,2.03,0,1,13,2.46,0,10,0,0,0,0.0,0.0,1.0,0.0,33.3,1.0,12.4,0.0,0.0,0.0
95,C. Ramos,46782,343851,17346.5,0,0,0,1,0,0,1,0,0,1,0,0,118,103,2.63,1,13,25,1.77,10,15,0,0,0,0.0,0.0,0.3,0.0,36.7,4.0,7.8,3.1,0.0,0.0
96,C. Rodríguez,47010,210285,7240.3,0,0,0,2,2,0,2,0,1,0,0,0,52,35,2.01,0,5,13,1.41,0,6,0,0,0,0.0,0.0,1.5,1.5,38.8,3.7,9.7,0.0,0.0,0.0
97,C. Salcedo,46419,766161,17236.3,0,0,0,3,0,2,0,1,3,0,0,0,154,138,2.65,0,28,15,1.05,15,5,0,0,0,0.0,0.0,0.9,0.0,48.2,8.8,4.7,4.7,0.0,0.0
98,C. Sánchez,56200,225716,13269.0,0,2,0,3,1,2,0,1,5,0,0,1,96,78,3.08,1,7,26,3.05,4,15,0,0,0,0.0,0.8,1.2,0.4,39.1,2.8,10.6,1.6,0.0,0.0
100,C. Vela,46419,11055,13920.2,1,0,0,8,1,0,7,1,3,0,0,0,82,67,2.44,3,1,40,2.38,0,31,0,0,0,0.4,0.0,3.1,0.4,31.8,0.4,15.5,0.0,0.0,0.0
101,Casemiro,19140,122268,15324.9,0,0,0,4,2,3,0,1,2,0,1,0,202,179,2.7,1,24,35,2.06,7,24,0,0,0,0.0,0.0,1.4,0.7,71.2,8.5,12.3,2.5,0.0,0.0
102,Cristiano Ronaldo,29715,9966,17672.4,4,0,0,15,6,13,1,1,3,1,1,0,78,67,2.53,2,6,37,2.43,5,29,0,0,0,1.2,0.0,4.6,1.8,23.8,1.8,11.3,1.5,0.0,0.0
103,Cédric Soares,29715,211167,17672.4,0,0,0,0,0,0,0,0,7,0,1,0,137,103,2.25,2,15,41,1.87,4,25,0,0,0,0.0,0.0,0.0,0.0,41.9,4.6,12.5,1.2,0.0,0.0
106,D. Boyata,16887,24102,17128.5,0,0,0,0,0,0,0,0,4,0,0,0,186,178,2.85,0,15,12,1.57,14,6,0,0,0,0.0,0.0,0.0,0.0,58.6,4.7,3.8,4.4,0.0,0.0
107,D. Bronn,32552,591494,7251.9,1,0,0,1,1,0,0,1,1,0,0,0,49,40,1.5499999999999998,1,5,11,0.8300000000000001,2,5,0,0,0,0.7,0.0,0.7,0.7,36.5,3.7,8.2,1.5,0.0,0.0
108,D. Cheryshev,43074,13539,11025.1,3,0,1,8,5,2,5,1,5,0,0,0,61,39,1.85,0,10,30,1.8,0,17,0,0,0,1.5,0.0,3.9,2.4,29.9,4.9,14.7,0.0,0.0,0.0
109,D. Colindres,33742,250546,6401.7,0,0,0,3,0,2,1,0,3,0,0,0,33,18,1.5,1,4,27,1.6800000000000002,0,20,0,0,0,0.0,0.0,2.5,0.0,27.8,3.4,22.8,0.0,0.0,0.0
110,D. Godín,47010,10299,17402.5,0,0,0,2,1,1,0,1,3,1,0,0,162,142,2.64,1,10,32,2.0700000000000003,8,23,0,0,0,0.0,0.0,0.6,0.3,50.3,3.1,9.9,2.5,0.0,0.0
111,D. Guzmán,50613,375780,14899.6,0,0,0,1,0,1,0,0,7,0,1,0,114,95,2.47,0,14,34,1.56,7,18,0,0,0,0.0,0.0,0.4,0.0,41.3,5.1,12.3,2.5,0.0,0.0
113,D. Kuzyaev,43074,662913,6138.2,0,0,0,1,0,1,0,0,4,0,0,0,40,37,2.79,0,4,13,1.1,1,7,0,0,0,0.0,0.0,0.9,0.0,35.2,3.5,11.4,0.9,0.0,0.0
114,D. Laxalt,31340,232538,7960.0,0,0,0,1,0,0,1,0,2,0,0,0,64,51,1.63,0,0,11,0.94,0,5,0,0,0,0.0,0.0,0.7,0.0,43.4,0.0,7.5,0.0,0.0,0.0
115,D. Lovren,28794,76179,13093.0,0,0,0,0,0,0,0,0,2,0,0,0,96,87,2.35,0,18,9,0.5,6,2,0,0,0,0.0,0.0,0.0,0.0,39.6,7.4,3.7,2.5,0.0,0.0
116,D. Mertens,16887,366,10810.2,1,1,0,5,3,5,0,0,2,2,0,0,70,53,2.48,5,6,17,2.46,0,13,0,0,0,0.5,0.5,2.5,1.5,35.0,3.0,8.5,0.0,0.0,0.0
117,D. Ospina,37290,76986,17542.2,0,0,0,0,0,0,0,0,0,0,0,0,66,55,2.47,0,4,2,2.0,0,2,12,10,0,0.0,0.0,0.0,0.0,20.3,1.2,0.6,0.0,3.7,0.0
118,D. Rose,4826,16584,7114.1,0,0,0,0,0,0,0,0,1,1,0,0,41,33,1.67,0,2,31,1.31,2,20,0,0,0,0.0,0.0,0.0,0.0,31.1,1.5,23.5,1.5,0.0,0.0
120,D. Sidibé,4418,26196,5692.6,0,0,0,0,0,0,0,0,1,0,0,0,96,80,0.83,2,3,9,0.44,0,4,0,0,0,0.0,0.0,0.0,0.0,91.1,2.8,8.5,0.0,0.0,0.0
121,D. Subašić,19196,271494,11529.7,0,0,0,0,0,0,0,0,0,0,0,0,46,41,1.7799999999999998,0,0,1,1.0,0,1,5,5,0,0.0,0.0,0.0,0.0,21.5,0.0,0.5,0.0,2.3,0.0
122,D. Sánchez,37290,773286,17542.2,0,0,0,0,0,0,0,0,1,0,0,0,140,120,2.54,0,15,27,2.03,7,19,0,0,0,0.0,0.0,0.0,0.0,43.1,4.6,8.3,2.2,0.0,0.0
123,D. Tadić,51966,1149,17540.5,0,1,0,3,1,1,2,0,3,0,0,0,84,68,2.42,3,10,83,1.77,2,49,0,0,0,0.0,0.3,0.9,0.3,25.9,3.1,25.6,0.6,0.0,0.0
124,D. Tošić,34644,255060,11282.3,0,0,0,0,0,0,0,0,3,0,0,0,83,73,1.76,0,10,20,1.4,4,14,0,0,0,0.0,0.0,0.0,0.0,39.7,4.8,9.6,1.9,0.0,0.0
125,D. Vida,19196,138792,11529.7,0,0,0,0,0,0,0,0,0,0,0,0,72,56,1.54,0,6,12,0.44,3,4,0,0,0,0.0,0.0,0.0,0.0,33.7,2.8,5.6,1.4,0.0,0.0
128,D. Ćaleta-Car,9598,230626,5774.1,0,0,0,0,0,0,0,0,0,1,0,0,36,33,0.92,0,5,6,0.83,7,5,0,0,0,0.0,0.0,0.0,0.0,33.7,4.7,5.6,6.5,0.0,0.0
129,Daniel Carvajal,3196,9002,11741.1,0,1,0,1,0,1,0,0,2,0,0,0,118,105,1.77,0,5,33,1.38,0,23,0,0,0,0.0,0.5,0.5,0.0,54.3,2.3,15.2,0.0,0.0,0.0
130,Danilo,6380,70083,5902.4,0,0,0,0,0,0,0,0,0,0,0,0,54,48,0.89,0,2,9,0.67,1,6,0,0,0,0.0,0.0,0.0,0.0,49.4,1.8,8.2,0.9,0.0,0.0
131,David Silva,4794,24951,16101.3,0,0,0,8,1,1,7,0,3,1,0,0,170,153,2.68,0,4,24,1.52,2,14,0,0,0,0.0,0.0,2.7,0.3,57.0,1.3,8.0,0.7,0.0,0.0
132,David de Gea,4794,23730,17494.9,0,0,0,0,0,0,0,0,0,0,0,0,41,40,2.9,0,2,0,0.0,0,0,6,1,0,0.0,0.0,0.0,0.0,12.7,0.6,0.0,0.0,1.9,0.0
133,Diego Costa,4794,13014,14598.9,3,0,0,5,3,3,2,0,2,0,0,0,49,45,2.74,1,4,28,1.58,3,15,0,0,0,1.1,0.0,1.8,1.1,18.1,1.5,10.4,1.1,0.0,0.0
135,E. Cavani,47010,63522,17261.0,1,0,0,13,4,7,5,1,3,0,0,0,70,58,2.44,2,4,34,2.08,1,24,0,0,0,0.3,0.0,4.1,1.3,21.9,1.3,10.6,0.3,0.0,0.0
136,E. Davis,35858,232728,11612.7,0,0,0,0,0,0,0,0,5,0,1,0,107,87,1.61,0,5,17,1.05,4,9,0,0,0,0.0,0.0,0.0,0.0,49.8,2.3,7.9,1.9,0.0,0.0
137,E. Dier,2413,210044,5593.1,0,0,0,0,0,0,0,0,3,0,0,0,59,55,0.93,1,2,9,0.44,2,4,0,0,0,0.0,0.0,0.0,0.0,57.0,1.9,8.7,1.9,0.0,0.0
138,E. Forsberg,21141,153396,17492.8,0,0,0,11,2,8,3,0,2,0,0,0,63,51,2.3600000000000003,0,11,44,1.77,2,25,0,0,0,0.0,0.0,3.4,0.6,19.4,3.4,13.6,0.6,0.0,0.0
139,E. Hajsafi,32520,237744,13647.3,0,0,0,2,0,1,1,0,1,0,1,0,49,34,2.29,0,12,22,1.71,10,13,0,0,0,0.0,0.0,0.8,0.0,19.4,4.7,8.7,4.0,0.0,0.0
140,E. Hallfreðsson,15678,42628,11539.6,0,0,0,1,0,0,1,0,3,0,1,0,62,54,1.74,0,8,36,1.0,0,18,0,0,0,0.0,0.0,0.5,0.0,29.0,3.7,16.8,0.0,0.0,0.0
141,E. Hazard,11258,51414,9970.3,2,1,0,8,4,5,3,0,1,0,0,0,61,50,1.65,1,9,39,1.48,0,29,0,0,0,1.1,0.5,4.3,2.2,33.0,4.9,21.1,0.0,0.0,0.0
142,E. Kawashima,38739,113688,17105.5,0,0,0,0,0,0,0,0,1,0,1,0,58,53,2.74,0,3,0,0.0,0,0,13,9,0,0.0,0.0,0.0,0.0,18.3,0.9,0.0,0.0,4.1,0.0
143,E. Pérez,24548,172468,7886.5,0,0,0,1,0,0,1,0,3,0,0,0,79,75,1.91,1,3,14,0.8300000000000001,0,6,0,0,0,0.0,0.0,0.7,0.0,54.1,2.1,9.6,0.0,0.0,0.0
