,player_name,team_id,player_id,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy,key_passes,interceptions,tackle,tackle_accuracy,clearances,successful_tackles,total_saves,successful_saves,save_rate,goals_per_90min,assists_per_90min,total_shots_per_90min,shots_on_target_per_90min,total_passes_per_90min,interceptions_per_90min,tackle_per_90min,clearances_per_90min,total_saves_per_90min,save_rate_per_90min
144,E. Salvio,24548,6890,9192.2,0,0,0,1,0,0,1,0,0,0,0,0,93,78,1.66,1,8,19,1.54,3,15,0,0,0,0.0,0.0,0.6,0.0,54.6,4.7,11.2,1.8,0.0,0.0
145,E. Skhiri,48828,740838,17563.1,0,0,0,0,0,0,0,0,6,0,0,0,160,147,2.75,0,9,46,1.83,2,26,0,0,0,0.0,0.0,0.0,0.0,49.2,2.8,14.1,0.6,0.0,0.0
146,E. Álvarez,46419,1344630,13753.7,0,0,1,0,0,0,0,0,2,0,0,0,125,111,2.53,1,17,34,1.64,4,20,0,0,0,0.0,0.0,0.0,0.0,49.1,6.7,13.3,1.6,0.0,0.0
147,Essam El Hadary,16129,120269,6070.8,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0.82,0,3,0,0.0,0,0,7,5,0,0.0,0.0,0.0,0.0,9.8,2.7,0.0,0.0,6.2,0.0
148,F. Armani,12274,90991,5792.8,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0.7,0,3,0,0.0,1,0,3,2,0,0.0,0.0,0.0,0.0,18.6,2.8,0.0,0.9,2.8,0.0
150,F. Ben Mustapha,32552,241568,10687.9,0,0,0,0,0,0,0,0,0,0,0,0,34,29,1.68,0,5,3,0.33,3,1,12,7,0,0.0,0.0,0.0,0.0,17.2,2.5,1.5,1.5,6.1,0.0
151,F. Ben Youssef,48828,628062,17563.1,1,0,0,7,2,4,0,3,3,0,0,0,94,71,2.25,2,12,17,2.3,8,13,0,0,0,0.3,0.0,2.2,0.6,28.9,3.7,5.2,2.5,0.0,0.0
153,F. Calvo,33742,251024,7420.7,0,0,0,1,0,1,0,0,1,0,1,0,44,35,1.55,0,7,20,1.59,4,13,0,0,0,0.0,0.0,0.7,0.0,32.0,5.1,14.6,2.9,0.0,0.0
154,F. Delph,4826,16928,7534.1,0,0,0,2,0,0,2,0,1,1,0,0,65,55,1.7,0,1,25,0.99,0,13,0,0,0,0.0,0.0,1.4,0.0,46.6,0.7,17.9,0.0,0.0,0.0
155,F. Escobar,53787,821049,17587.9,0,0,0,1,1,1,0,0,6,0,1,0,90,79,2.58,0,15,16,2.1,5,10,0,0,0,0.0,0.0,0.3,0.3,27.6,4.6,4.9,1.5,0.0,0.0
157,F. Kostić,51966,383388,10616.1,0,0,0,2,0,0,2,0,4,0,0,0,46,31,1.67,0,4,38,1.7000000000000002,1,25,0,0,0,0.0,0.0,1.0,0.0,23.4,2.0,19.3,0.5,0.0,0.0
158,F. Kudryashov,28716,203294,6345.5,0,0,0,0,0,0,0,0,3,0,0,0,42,38,1.9,0,1,9,0.79,0,3,0,0,0,0.0,0.0,0.0,0.0,35.7,0.9,7.7,0.0,0.0,0.0
159,F. Muslera,47010,97923,17402.5,0,0,0,0,0,0,0,0,0,0,0,0,51,47,2.75,0,3,0,0.0,0,0,7,7,0,0.0,0.0,0.0,0.0,15.8,0.9,0.0,0.0,2.2,0.0
160,F. Sassi,48828,362559,12311.3,1,0,0,5,1,5,0,0,6,0,2,0,151,131,2.61,1,7,27,1.38,2,12,0,0,0,0.4,0.0,2.2,0.4,66.2,3.1,11.8,0.9,0.0,0.0
161,F. Schär,20091,150306,17546.3,0,0,0,1,0,0,0,1,4,0,2,0,210,181,2.5700000000000003,0,13,25,1.89,11,16,0,0,0,0.0,0.0,0.3,0.0,64.6,4.0,7.7,3.4,0.0,0.0
162,F. Smolov,43074,305121,7354.0,0,0,0,0,0,0,0,0,3,2,1,0,43,34,2.41,1,1,36,2.01,0,24,0,0,0,0.0,0.0,0.0,0.0,31.6,0.7,26.4,0.0,0.0,0.0
163,F. Uzoho,50469,856473,17442.3,0,0,0,0,0,0,0,0,0,0,0,0,44,33,2.35,0,3,0,0.0,2,0,10,6,0,0.0,0.0,0.0,0.0,13.6,0.9,0.0,0.6,3.1,0.0
164,Fahad Al Muwallad,49563,367869,11667.6,0,0,0,2,0,2,0,0,4,2,0,0,20,14,1.96,0,2,24,2.19,0,15,0,0,0,0.0,0.0,0.9,0.0,9.3,0.9,11.1,0.0,0.0,0.0
167,Fágner,12760,81414,11644.6,0,0,0,0,0,0,0,0,2,0,0,0,143,126,1.74,0,8,18,1.58,3,14,0,0,0,0.0,0.0,0.0,0.0,66.3,3.7,8.3,1.4,0.0,0.0
168,G. Cahill,2413,7887,5593.1,0,0,0,0,0,0,0,0,1,0,0,0,43,42,0.98,0,3,7,0.86,1,6,0,0,0,0.0,0.0,0.0,0.0,41.5,2.9,6.8,1.0,0.0,0.0
169,G. Chaalali,16276,354043,5975.2,0,0,0,1,0,1,0,0,4,0,1,0,78,66,0.85,0,4,23,0.61,0,14,0,0,0,0.0,0.0,0.9,0.0,70.5,3.6,20.8,0.0,0.0,0.0
170,G. De Arrascaeta,31340,426728,5505.2,0,0,0,0,0,0,0,0,1,0,0,0,44,38,1.71,0,2,16,1.14,1,10,0,0,0,0.0,0.0,0.0,0.0,43.2,2.0,15.7,1.0,0.0,0.0
171,G. González,50613,375858,17701.4,0,0,0,2,1,0,0,2,1,0,0,0,86,79,2.74,0,16,15,1.14,9,8,0,0,0,0.0,0.0,0.6,0.3,26.2,4.9,4.6,2.7,0.0,0.0
172,G. Gómez,53787,177249,16016.9,0,0,0,1,1,1,0,0,5,0,1,0,114,107,2.82,0,12,18,1.61,2,9,0,0,0,0.0,0.0,0.3,0.3,38.4,4.0,6.1,0.7,0.0,0.0
173,G. Haraguchi,25826,189300,10260.6,0,0,0,1,0,0,1,0,2,0,0,0,56,48,1.69,0,9,38,1.13,4,23,0,0,0,0.0,0.0,0.5,0.0,29.5,4.7,20.0,2.1,0.0,0.0
174,G. Higuaín,36822,9969,8969.1,0,0,0,3,2,2,1,0,2,0,0,0,37,31,2.6100000000000003,1,3,15,2.36,1,8,0,0,0,0.0,0.0,1.8,1.2,22.3,1.8,9.0,0.6,0.0,0.0
175,G. Krychowiak,41607,76611,17353.5,1,0,0,2,1,1,0,1,3,0,1,0,177,152,2.57,1,11,40,1.99,0,26,0,0,0,0.3,0.0,0.6,0.3,55.1,3.4,12.4,0.0,0.0,0.0
176,G. Mercado,24548,172440,11564.8,0,1,0,0,0,0,0,0,4,0,1,0,91,74,1.63,0,9,24,1.26,1,15,0,0,0,0.0,0.5,0.0,0.0,42.5,4.2,11.2,0.5,0.0,0.0
177,G. Ochoa,46419,77448,17236.3,0,0,0,0,0,0,0,0,1,0,0,0,61,52,2.55,0,5,1,1.0,1,1,23,19,0,0.0,0.0,0.0,0.0,19.1,1.6,0.3,0.3,7.2,0.0
178,G. Sakai,12913,14749,5645.1,0,0,0,1,1,0,1,0,0,0,0,0,16,14,0.88,0,1,12,0.75,0,9,0,0,0,0.0,0.0,1.0,1.0,15.3,1.0,11.5,0.0,0.0,0.0
179,G. Shibasaki,38739,284484,16144.8,0,0,0,0,0,0,0,0,6,0,0,0,183,160,2.6,2,17,21,1.58,7,12,0,0,0,0.0,0.0,0.0,0.0,61.2,5.7,7.0,2.3,0.0,0.0
180,G. Shōji,25826,189628,11460.4,0,0,0,0,0,0,0,0,0,0,0,0,130,125,1.93,0,4,19,1.52,7,14,0,0,0,0.0,0.0,0.0,0.0,61.3,1.9,9.0,3.3,0.0,0.0
181,G. Sigurðsson,23517,232674,17431.4,1,0,0,9,5,8,1,0,2,0,0,0,97,75,2.31,6,10,65,1.65,0,35,0,0,0,0.3,0.0,2.8,1.5,30.0,3.1,20.1,0.0,0.0,0.0
184,G. Varela,31340,232332,11600.3,0,0,0,0,0,0,0,0,0,0,0,0,97,91,1.87,0,6,18,1.23,1,11,0,0,0,0.0,0.0,0.0,0.0,45.2,2.8,8.4,0.5,0.0,0.0
185,G. Xhaka,20091,149628,17546.3,1,0,0,2,1,0,2,0,1,0,0,0,248,231,2.77,0,10,30,1.52,6,15,0,0,0,0.3,0.0,0.6,0.3,76.3,3.1,9.2,1.8,0.0,0.0
187,Gabriel Jesus,19140,1021158,16101.0,0,1,0,3,0,2,0,1,4,3,0,0,60,49,2.4,1,12,44,2.1,1,29,0,0,0,0.0,0.3,1.0,0.0,20.1,4.0,14.8,0.3,0.0,0.0
189,Gonçalo Guedes,19810,474068,10687.2,0,0,0,2,1,2,0,0,1,1,0,0,35,32,1.83,1,4,29,1.27,1,19,0,0,0,0.0,0.0,1.0,0.5,17.7,2.0,14.7,0.5,0.0,0.0
190,H. Ayala,15473,112777,5651.2,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0.88,0,5,3,0.67,6,2,0,0,0,0.0,0.0,0.0,0.0,15.3,4.8,2.9,5.7,0.0,0.0
192,H. Dalsgaard,23136,169182,17268.300000000003,0,0,0,0,0,0,0,0,6,0,0,0,99,81,2.49,0,17,27,2.12,12,19,0,0,0,0.0,0.0,0.0,0.0,31.0,5.3,8.4,3.8,0.0,0.0
193,H. Halldórsson,23517,171678,17431.4,0,0,0,0,0,0,0,0,0,0,0,0,54,41,2.31,0,4,2,0.5,2,1,14,9,0,0.0,0.0,0.0,0.0,16.7,1.2,0.6,0.6,4.3,0.0
194,H. Herrera,46419,337377,17236.3,0,0,0,3,2,2,1,0,9,1,1,0,168,147,2.62,2,16,65,1.88,0,40,0,0,0,0.0,0.0,0.9,0.6,52.6,5.0,20.4,0.0,0.0,0.0
195,H. Kane,4826,17434,9724.2,5,0,0,6,5,5,0,1,1,1,0,0,30,23,1.5499999999999998,4,4,15,1.25,1,9,0,0,0,2.8,0.0,3.3,2.8,16.7,2.2,8.3,0.6,0.0,0.0
196,H. Lloris,8836,50762,11581.9,0,0,0,0,0,0,0,0,0,0,0,0,32,29,1.81,0,1,0,0.0,2,0,4,3,0,0.0,0.0,0.0,0.0,14.9,0.5,0.0,0.9,1.9,0.0
197,H. Lozano,46419,885468,14040.2,1,1,0,8,2,7,1,0,5,1,0,0,59,51,2.59,1,9,54,2.21,1,40,0,0,0,0.4,0.4,3.1,0.8,22.7,3.5,20.8,0.4,0.0,0.0
198,H. Magnússon,23517,405621,17431.4,0,0,0,2,0,0,1,1,4,0,0,0,69,39,1.59,0,21,24,1.39,12,12,0,0,0,0.0,0.0,0.6,0.0,21.4,6.5,7.4,3.7,0.0,0.0
199,H. Maguire,7239,25959,14550.9,0,1,0,3,2,0,0,3,3,0,0,0,177,167,2.8,1,7,15,2.42,0,12,0,0,0,0.0,0.4,1.1,0.7,65.7,2.6,5.6,0.0,0.0,0.0
200,H. Moreno,46419,11385,17236.3,0,0,0,1,1,0,0,1,6,0,2,0,135,117,2.5700000000000003,0,13,12,1.84,4,7,0,0,0,0.0,0.0,0.3,0.3,42.3,4.1,3.8,1.3,0.0,0.0
201,H. Nagguez,32552,586160,10311.2,0,1,0,0,0,0,0,0,3,0,0,0,84,67,1.59,1,3,28,1.46,0,20,0,0,0,0.0,0.5,0.0,0.0,44.0,1.6,14.7,0.0,0.0,0.0
202,H. Sakai,38739,284085,17105.5,0,0,0,2,0,2,0,0,1,1,0,0,116,94,2.45,1,11,31,2.1,10,22,0,0,0,0.0,0.0,0.6,0.0,36.6,3.5,9.8,3.2,0.0,0.0
203,H. Seferović,13394,41532,7668.6,0,0,0,0,0,0,0,0,3,1,0,0,12,7,1.0,1,3,13,0.62,3,8,0,0,0,0.0,0.0,0.0,0.0,8.5,2.1,9.2,2.1,0.0,0.0
204,H. Yamaguchi,25826,190020,6605.8,0,0,0,0,0,0,0,0,2,0,0,0,91,85,1.81,0,3,12,1.6,1,8,0,0,0,0.0,0.0,0.0,0.0,74.4,2.5,9.8,0.8,0.0,0.0
205,H. Ziyech,48648,663117,16942.2,0,0,0,8,2,1,7,0,8,0,0,0,112,91,2.4,0,16,61,1.84,2,38,0,0,0,0.0,0.0,2.5,0.6,35.7,5.1,19.4,0.6,0.0,0.0
206,Hattan Bahbir,49563,367845,10047.6,0,0,0,6,2,3,3,0,1,0,0,0,66,52,2.32,0,2,24,2.04,0,18,0,0,0,0.0,0.0,3.2,1.1,35.5,1.1,12.9,0.0,0.0,0.0
207,Hussain Al Mogahwi,33042,245836,9193.6,0,0,0,5,1,4,0,1,2,0,0,0,110,105,1.9,0,4,14,1.88,1,13,0,0,0,0.0,0.0,2.9,0.6,64.6,2.3,8.2,0.6,0.0,0.0
208,I. Akinfeev,43074,304728,17250.6,0,0,0,0,0,0,0,0,0,0,0,0,46,41,2.59,0,2,0,0.0,0,0,9,5,0,0.0,0.0,0.0,0.0,14.4,0.6,0.0,0.0,2.8,0.0
210,I. Gueye,57942,77118,17284.2,0,0,0,2,0,2,0,0,6,0,1,0,139,121,2.61,0,13,31,1.62,5,17,0,0,0,0.0,0.0,0.6,0.0,43.4,4.1,9.7,1.6,0.0,0.0
212,I. Kutepov,43074,311004,17250.6,0,1,0,0,0,0,0,0,3,0,0,0,89,68,2.27,0,14,17,2.47,12,13,0,0,0,0.0,0.3,0.0,0.0,27.9,4.4,5.3,3.8,0.0,0.0
213,I. Perišić,28794,44436,16438.5,1,0,0,5,2,1,4,0,2,2,0,0,81,58,2.03,0,10,41,1.7400000000000002,5,24,0,0,0,0.3,0.0,1.6,0.7,26.6,3.3,13.5,1.6,0.0,0.0
214,I. Rakitić,28794,10428,12313.0,1,0,0,7,2,7,0,0,4,1,1,0,102,81,2.37,2,9,33,2.29,2,22,0,0,0,0.4,0.0,3.1,0.9,44.7,3.9,14.5,0.9,0.0,0.0
215,I. Sarr,57942,1344237,17284.2,0,0,0,3,2,2,1,0,4,1,0,0,64,52,2.47,0,4,59,2.1,2,41,0,0,0,0.0,0.0,0.9,0.6,20.0,1.2,18.4,0.6,0.0,0.0
217,I. Smolnikov,14358,101825,5802.2,0,0,0,0,0,0,0,0,2,0,1,0,12,10,0.83,0,0,3,0.67,0,2,0,0,0,0.0,0.0,0.0,0.0,11.2,0.0,2.8,0.0,0.0,0.0
218,I. Strinić,19196,210722,11529.7,0,0,0,0,0,0,0,0,4,0,0,0,78,56,1.4300000000000002,0,12,23,0.92,5,12,0,0,0,0.0,0.0,0.0,0.0,36.5,5.6,10.8,2.3,0.0,0.0
220,Iniesta,4794,10059,14497.7,0,1,0,3,0,1,2,0,3,0,0,0,232,203,2.62,3,4,29,2.22,0,22,0,0,0,0.0,0.4,1.1,0.0,86.4,1.5,10.8,0.0,0.0,0.0
221,Isco,4794,10689,17494.9,1,0,0,8,3,6,1,1,1,3,0,0,302,276,2.75,4,4,73,2.3,0,56,0,0,0,0.3,0.0,2.5,0.9,93.2,1.2,22.5,0.0,0.0,0.0
222,J. Acosta,50613,375852,17701.4,0,0,0,0,0,0,0,0,2,0,1,0,71,63,2.64,0,9,25,1.45,3,12,0,0,0,0.0,0.0,0.0,0.0,21.7,2.7,7.6,0.9,0.0,0.0
223,J. Bednarek,41607,720096,14536.1,1,0,0,1,1,1,0,0,2,0,1,0,172,156,2.76,0,15,18,1.91,8,11,0,0,0,0.4,0.0,0.4,0.4,63.9,5.6,6.7,3.0,0.0,0.0
224,J. Boateng,6296,29432,11593.9,0,0,0,3,1,0,3,0,5,0,1,0,180,161,1.79,5,9,24,1.29,5,16,0,0,0,0.0,0.0,1.4,0.5,83.8,4.2,11.2,2.3,0.0,0.0
227,J. Campbell,33742,52076,7668.2,0,1,0,3,1,0,3,0,3,0,1,0,32,25,1.5299999999999998,0,2,43,1.46,0,31,0,0,0,0.0,0.7,2.1,0.7,22.5,1.4,30.3,0.0,0.0,0.0
229,J. Cuadrado,37290,62253,13639.0,1,0,0,4,1,4,0,0,1,0,0,0,105,88,2.49,2,9,52,2.28,5,39,0,0,0,0.4,0.0,1.6,0.4,41.6,3.6,20.6,2.0,0.0,0.0
230,J. Draxler,6296,29724,8466.7,0,0,0,6,1,5,1,0,4,0,0,0,77,70,1.81,2,1,16,1.8,0,13,0,0,0,0.0,0.0,3.8,0.6,49.1,0.6,10.2,0.0,0.0,0.0
233,J. Farfán,31188,29744,8185.6,0,0,0,4,1,3,1,0,6,0,0,0,31,26,1.6800000000000002,0,2,17,1.32,3,11,0,0,0,0.0,0.0,2.6,0.7,20.5,1.3,11.2,2.0,0.0,0.0
234,J. Gallardo,46419,1008534,15439.8,0,0,0,0,0,0,0,0,2,0,1,0,97,81,2.51,0,24,26,2.13,13,19,0,0,0,0.0,0.0,0.0,0.0,33.9,8.4,9.1,4.5,0.0,0.0
235,J. Giménez,31340,455788,11600.3,1,0,0,1,1,0,0,1,2,0,0,0,125,114,1.83,1,12,21,1.21,9,14,0,0,0,0.5,0.0,0.5,0.5,58.2,5.6,9.8,4.2,0.0,0.0
237,J. Guðmunds­son,15678,186,9558.6,0,0,0,3,1,0,3,0,0,0,0,0,40,32,1.58,0,6,16,1.24,3,10,0,0,0,0.0,0.0,1.7,0.6,22.6,3.4,9.0,1.7,0.0,0.0
238,J. Góralski,27738,200280,11595.3,0,0,0,1,0,1,0,0,3,0,1,0,65,57,1.77,0,7,26,1.44,2,17,0,0,0,0.0,0.0,0.5,0.0,30.3,3.3,12.1,0.9,0.0,0.0
239,J. Henderson,4826,15928,11665.2,0,0,0,2,1,2,0,0,0,0,0,0,136,122,1.79,1,9,11,1.46,2,8,0,0,0,0.0,0.0,0.9,0.5,63.0,4.2,5.1,0.9,0.0,0.0
240,J. Hernández,46419,23823,17236.3,1,1,0,6,1,3,1,2,2,1,0,0,57,46,2.4,0,4,26,2.0,2,17,0,0,0,0.3,0.3,1.9,0.3,17.9,1.3,8.1,0.6,0.0,0.0
243,J. Lerma,37290,767214,7874.9,0,0,0,1,0,0,1,0,2,0,0,0,57,47,2.5,1,4,12,2.1,2,7,0,0,0,0.0,0.0,0.7,0.0,39.1,2.7,8.2,1.4,0.0,0.0
244,J. Lingard,4826,15868,9607.4,1,0,0,6,2,5,1,0,3,1,0,0,59,56,1.9,0,1,20,1.6,1,16,0,0,0,0.6,0.0,3.4,1.1,33.2,0.6,11.2,0.6,0.0,0.0
245,J. Mascherano,36822,10065,17330.3,0,0,0,1,1,1,0,0,11,0,1,0,281,259,2.74,0,11,35,1.4,5,17,0,0,0,0.0,0.0,0.3,0.3,87.6,3.4,10.9,1.6,0.0,0.0
246,J. Mojica,37290,275106,17542.2,0,0,0,0,0,0,0,0,3,0,1,0,122,91,2.2,2,12,58,1.93,2,38,0,0,0,0.0,0.0,0.0,0.0,37.6,3.7,17.9,0.6,0.0,0.0
247,J. Obi Mikel,50469,23694,17013.8,0,0,0,0,0,0,0,0,6,0,1,0,146,125,2.56,2,7,47,2.06,2,32,0,0,0,0.0,0.0,0.0,0.0,46.3,2.2,14.9,0.6,0.0,0.0
248,J. Penedo,53787,377322,17587.9,0,0,0,0,0,0,0,0,0,0,0,0,31,28,2.67,0,4,0,0.0,2,0,20,9,0,0.0,0.0,0.0,0.0,9.5,1.2,0.0,0.6,6.1,0.0
249,J. Pickford,7239,30393,17258.3,0,0,0,0,0,0,0,0,0,0,0,0,69,59,2.62,0,2,0,0.0,0,0,6,3,0,0.0,0.0,0.0,0.0,21.6,0.6,0.0,0.0,1.9,0.0
250,J. Pivarić,9598,69964,5774.1,0,0,0,0,0,0,0,0,1,0,0,0,57,49,0.86,0,1,10,0.6,1,6,0,0,0,0.0,0.0,0.0,0.0,53.3,0.9,9.4,0.9,0.0,0.0
251,J. Quintero,37290,273057,13936.5,1,2,0,5,2,0,5,0,1,0,0,0,138,112,2.39,6,4,21,1.5699999999999998,0,11,0,0,0,0.4,0.8,1.9,0.8,53.5,1.5,8.1,0.0,0.0,0.0
252,J. Risdon,25479,184101,17195.5,0,0,0,1,0,0,1,0,4,1,1,0,134,93,2.0700000000000003,2,12,49,1.99,3,32,0,0,0,0.0,0.0,0.3,0.0,42.1,3.8,15.4,0.9,0.0,0.0
253,J. Rodriguez,53787,1205583,15662.1,0,0,0,3,1,0,3,0,3,0,0,0,64,52,2.35,0,7,39,1.84,1,24,0,0,0,0.0,0.0,1.0,0.3,22.1,2.4,13.4,0.3,0.0,0.0
254,J. Rodríguez,37290,210288,10030.9,0,2,0,3,0,0,3,0,4,1,1,0,93,79,2.46,2,2,35,1.4899999999999998,0,18,0,0,0,0.0,1.1,1.6,0.0,50.1,1.1,18.8,0.0,0.0,0.0
255,J. Stones,7239,28140,14372.6,2,0,0,3,3,0,0,3,1,0,0,0,194,188,2.9,0,11,14,1.72,3,10,0,0,0,0.8,0.0,1.1,1.1,72.9,4.1,5.3,1.1,0.0,0.0
256,J. Stryger Larsen,23136,168078,17268.300000000003,0,0,0,2,1,1,0,1,1,0,0,0,83,72,2.59,0,9,31,1.65,5,17,0,0,0,0.0,0.0,0.6,0.3,26.0,2.8,9.7,1.6,0.0,0.0
257,J. Vardy,4826,25658,7534.1,0,0,0,1,0,0,0,1,1,0,0,0,14,10,1.45,1,4,12,1.23,0,7,0,0,0,0.0,0.0,0.7,0.0,10.0,2.9,8.6,0.0,0.0,0.0
258,J. Venegas,33742,250904,9613.1,0,0,0,0,0,0,0,0,6,1,0,0,41,30,1.46,1,5,40,1.01,1,20,0,0,0,0.0,0.0,0.0,0.0,23.0,2.8,22.5,0.6,0.0,0.0
259,J. Vertonghen,11258,96,11535.4,0,0,0,0,0,0,0,0,3,0,1,0,110,99,1.7799999999999998,0,5,16,1.5,5,12,0,0,0,0.0,0.0,0.0,0.0,51.5,2.3,7.5,2.3,0.0,0.0
261,J. 키미히,9444,673779,17733.9,0,0,0,3,0,1,2,0,1,0,0,0,240,204,2.55,3,5,45,2.39,1,36,0,0,0,0.0,0.0,0.9,0.0,73.1,1.5,13.7,0.3,0.0,0.0
262,J. 헥터,6296,37338,10077.1,0,0,0,2,1,0,2,0,2,1,0,0,81,72,1.78,1,6,16,1.71,4,14,0,0,0,0.0,0.0,1.1,0.5,43.4,3.2,8.6,2.1,0.0,0.0
264,Jordi Alba,4794,9807,17494.9,0,0,0,0,0,0,0,0,2,1,0,0,233,213,2.74,1,10,23,1.49,3,11,0,0,0,0.0,0.0,0.0,0.0,71.9,3.1,7.1,0.9,0.0,0.0
265,José Fonte,29715,24378,17672.4,0,0,0,1,0,1,0,0,2,0,0,0,137,121,2.6,0,11,16,1.62,7,9,0,0,0,0.0,0.0,0.3,0.0,41.9,3.4,4.9,2.1,0.0,0.0
266,João Miranda,19140,10293,17547.0,0,0,0,1,0,1,0,0,5,0,0,0,179,172,2.88,0,13,20,1.78,6,13,0,0,0,0.0,0.0,0.3,0.0,55.1,4.0,6.2,1.8,0.0,0.0
267,João Moutinho,29715,210279,12081.5,0,1,0,0,0,0,0,0,6,0,0,0,74,70,2.42,0,9,34,1.89,1,16,0,0,0,0.0,0.4,0.0,0.0,33.1,4.0,15.2,0.4,0.0,0.0
268,João Mário,29715,212895,11163.3,0,0,0,1,0,1,0,0,4,0,0,0,91,82,2.54,0,5,27,1.64,1,14,0,0,0,0.0,0.0,0.5,0.0,44.0,2.4,13.1,0.5,0.0,0.0
269,K. Ansarifard,32520,237447,11796.5,1,0,0,3,1,2,1,0,4,0,1,0,31,19,1.74,0,8,22,1.38,3,10,0,0,0,0.5,0.0,1.4,0.5,14.2,3.7,10.1,1.4,0.0,0.0
270,K. Boutaïb,32432,59250,8604.0,1,0,0,3,2,0,2,1,3,1,0,0,22,19,1.79,0,3,13,1.1,0,7,0,0,0,0.6,0.0,1.9,1.3,13.8,1.9,8.2,0.0,0.0,0.0
271,K. De Bruyne,11258,76042,11535.4,0,1,0,4,0,4,0,0,2,0,1,0,111,90,1.66,2,5,20,1.31,2,13,0,0,0,0.0,0.5,1.9,0.0,52.0,2.3,9.4,0.9,0.0,0.0
273,K. El Ahmadi,48648,426,17075.699999999997,0,0,0,1,0,1,0,0,8,0,2,0,107,97,2.78,0,9,36,1.48,4,17,0,0,0,0.0,0.0,0.3,0.0,33.8,2.8,11.4,1.3,0.0,0.0
274,K. Glik,27738,42194,6610.1,0,0,0,1,0,0,0,1,2,0,0,0,76,68,1.78,0,6,6,1.0,5,3,0,0,0,0.0,0.0,0.8,0.0,62.1,4.9,4.9,4.1,0.0,0.0
275,K. Grosicki,41607,99096,13738.3,0,1,0,4,1,1,0,3,1,0,0,0,56,36,2.1,1,7,27,1.64,0,17,0,0,0,0.0,0.4,1.6,0.4,22.0,2.8,10.6,0.0,0.0,0.0
277,K. Iheanacho,50469,856524,9320.8,0,0,0,3,0,0,3,0,0,1,0,0,43,35,2.2,1,3,25,1.6,0,13,0,0,0,0.0,0.0,1.7,0.0,24.9,1.7,14.5,0.0,0.0,0.0
278,K. Koulibaly,57942,77178,17284.2,0,0,0,0,0,0,0,0,5,0,0,0,108,91,2.52,1,9,23,2.22,7,18,0,0,0,0.0,0.0,0.0,0.0,33.7,2.8,7.2,2.2,0.0,0.0
279,K. Mbappé,13254,1061499,11317.9,1,0,0,3,3,3,0,0,1,0,0,0,62,49,2.43,1,2,42,2.1500000000000004,1,31,0,0,0,0.5,0.0,1.4,1.4,29.6,1.0,20.0,0.5,0.0,0.0
280,K. N'Diaye,57942,401691,17284.2,0,0,0,0,0,0,0,0,0,0,0,0,52,34,1.94,0,3,0,0.0,3,0,9,5,0,0.0,0.0,0.0,0.0,16.2,0.9,0.0,0.9,2.8,0.0
281,K. Navas,50613,11745,17701.4,0,0,0,0,0,0,0,0,0,0,0,0,77,60,2.39,0,5,2,1.0,1,2,16,11,0,0.0,0.0,0.0,0.0,23.5,1.5,0.6,0.3,4.9,0.0
282,K. Omeruo,33646,24,11361.6,0,0,0,0,0,0,0,0,2,0,0,0,64,49,1.54,1,10,12,1.5699999999999998,11,9,0,0,0,0.0,0.0,0.0,0.0,30.4,4.8,5.7,5.2,0.0,0.0
283,K. Schmeichel,23136,25440,17268.300000000003,0,0,0,0,0,0,0,0,0,0,0,0,61,49,2.49,0,1,0,0.0,1,0,14,13,0,0.0,0.0,0.0,0.0,19.1,0.3,0.0,0.3,4.4,0.0
284,K. Trippier,4826,17890,10144.2,0,1,0,1,0,1,0,0,1,1,0,0,75,63,1.75,0,4,18,1.59,2,14,0,0,0,0.0,0.5,0.5,0.0,39.9,2.1,9.6,1.1,0.0,0.0
285,K. Walker,4826,16554,11665.2,0,0,0,0,0,0,0,0,1,0,1,0,177,167,1.88,1,3,8,1.75,3,7,0,0,0,0.0,0.0,0.0,0.0,81.9,1.4,3.7,1.4,0.0,0.0
286,K. Waston,16871,125575,5776.9,1,0,0,1,1,0,0,1,1,0,1,0,39,36,0.92,0,8,3,0.67,3,2,0,0,0,0.9,0.0,0.9,0.9,36.5,7.5,2.8,2.8,0.0,0.0
